start_date,end_date
20210801,20210831
20210701,20210731
20210601,20210630
20210501,20210531
20210401,20210430
20210301,20210331
20210201,20210228
20210101,20210131
20201201,20201231
20201101,20201130
20201001,20201031
20200901,20200930
20200801,20200831
20200701,20200731
20200601,20200630
20200501,20200531
20200401,20200430
20200301,20200331
20200201,20200229
20200101,20200131
20191201,20191231
20191101,20191130
20191001,20191031
20190901,20190930
20190801,20190831
20190701,20190731
20190601,20190630
20190501,20190531
20190401,20190430
20190301,20190331
20190201,20190228
20190101,20190131
20181201,20181231
20181101,20181130
20181001,20181031
20180901,20180930
20180801,20180831
20180701,20180731
20180601,20180630
20180501,20180531
20180401,20180430
20180301,20180331
20180201,20180228
20180101,20180131
20171201,20171231
20171101,20171130
20171001,20171031
20170901,20170930
20170801,20170831
20170701,20170731
20170601,20170630
20170501,20170531
20170401,20170430
20170301,20170331
20170201,20170228
20170101,20170131
20161201,20161231
20161101,20161130
20161001,20161031
20160901,20160930
20160801,20160831
20160701,20160731
20160601,20160630
20160501,20160531
20160401,20160430
20160301,20160331
20160201,20160229
20160101,20160131
20151201,20151231
20151101,20151130
20151001,20151031
20150901,20150930
20150801,20150831
20150701,20150731
20150601,20150630
20150501,20150531
20150401,20150430
20150301,20150331
20150201,20150228
20150101,20150131
20141201,20141231
20141101,20141130
20141001,20141031
20140901,20140930
20140801,20140831
20140701,20140731
20140601,20140630
20140501,20140531
20140401,20140430
20140301,20140331
20140201,20140228
20140101,20140131
20131201,20131231
20131101,20131130
20131001,20131031
20130901,20130930
20130801,20130831
20130701,20130731
20130601,20130630
20130501,20130531
20130401,20130430
20130301,20130331
20130201,20130228
20130101,20130131
20121201,20121231
20121101,20121130
20121001,20121031
20120901,20120930
20120801,20120831
20120701,20120731
20120601,20120630
20120501,20120531
20120401,20120430
20120301,20120331
20120201,20120229
20120101,20120131
20111201,20111231
20111101,20111130
20111001,20111031
20110901,20110930
20110801,20110831
20110701,20110731
20110601,20110630
20110501,20110531
20110401,20110430
20110301,20110331
20110201,20110228
20110101,20110131
20101201,20101231
20101101,20101130
20101001,20101031
20100901,20100930
20100801,20100831
20100701,20100731
20100601,20100630
20100501,20100531
20100401,20100430
20100301,20100331
20100201,20100228
20100101,20100131
20091201,20091231
20091101,20091130
20091001,20091031
20090901,20090930
20090801,20090831
20090701,20090731
20090601,20090630
20090501,20090531
20090401,20090430
20090301,20090331
20090201,20090228
20090101,20090131
20081201,20081231
20081101,20081130
20081001,20081031
20080901,20080930
20080801,20080831
20080701,20080731
20080601,20080630
20080501,20080531
20080401,20080430
20080301,20080331
20080201,20080229
20080101,20080131
20071201,20071231
20071101,20071130
20071001,20071031
20070901,20070930
20070801,20070831
20070701,20070731
20070601,20070630
20070501,20070531
20070401,20070430
20070301,20070331
20070201,20070228
20070101,20070131
20061201,20061231
20061101,20061130
20061001,20061031
20060901,20060930
20060801,20060831
20060701,20060731
20060601,20060630
20060501,20060531
20060401,20060430
20060301,20060331
20060201,20060228
20060101,20060131
20051201,20051231
20051101,20051130
20051001,20051031
20050901,20050930
20050801,20050831
20050701,20050731
20050601,20050630
20050501,20050531
20050401,20050430
20050301,20050331
20050201,20050228
20050101,20050131
20041201,20041231
20041101,20041130
20041001,20041031
20040901,20040930
20040801,20040831
20040701,20040731
20040601,20040630
20040501,20040531
20040401,20040430
20040301,20040331
20040201,20040229
20040101,20040131
20031201,20031231
20031101,20031130
20031001,20031031
20030901,20030930
20030801,20030831
20030701,20030731
20030601,20030630
20030501,20030531
20030401,20030430
20030301,20030331
20030201,20030228
20030101,20030131
